"county_prec","total_pop","total_latino","joinR","county_id.x","pct16","total_votes","pres_clinton","pres_trump","county","precinct.x","pct_clinton","pct_trump","cnty_votes","wt","pct_latino","county_class","precinct.y","reg_2012","votes_2012","obama","romney","county_id.y","cnty_votes_2012","wt_2012"
"06001207700",1972,111,"06001207700","06001","001-207700",937,798,31,"06001","06001207700",0.851654215581644,0.0330843116328709,595005,0.00157477668254889,0.0562880324543611,"Urban","207700",1544,976,840,48,"06001",590116,0.00165391211219489
"06001208000",1019.47,83.4628,"06001208000","06001","001-208000",495,437,17,"06001","06001208000",0.882828282828283,0.0343434343434343,595005,0.000831925782136285,0.0818688141877642,"Urban","208000",930,695,617,26,"06001",590116,0.00117773454710599
"06001208010",1375.4001,122.6545,"06001208010","06001","001-208010",896,791,29,"06001","06001208010",0.8828125,0.0323660714285714,595005,0.00150586969857396,0.0891773237474681,"Urban","208010",1159,864,763,32,"06001",590116,0.0014641189189922
"06001208100",546.9619,23.0591,"06001208100","06001","001-208100",524,468,12,"06001","06001208100",0.893129770992366,0.0229007633587786,595005,0.000880664868362451,0.0421585123205108,"Urban","208100",618,494,448,19,"06001",590116,0.000837123548590447
"06001208110",622.8242,39.8744,"06001208110","06001","001-208110",502,439,16,"06001","06001208110",0.874501992031873,0.0318725099601594,595005,0.000843690389156394,0.064021918223473,"Urban","208110",658,488,433,15,"06001",590116,0.000826956056097445
"06001208200",814.3438,59.9492,"06001208200","06001","001-208200",547,483,19,"06001","06001208200",0.882998171846435,0.0347349177330896,595005,0.000919320005714238,0.0736165732458453,"Urban","208200",662,523,467,18,"06001",590116,0.000886266428973287
"06001208210",670.0347,81.0747,"06001208210","06001","001-208210",597,543,10,"06001","06001208210",0.909547738693467,0.016750418760469,595005,0.00100335291300073,0.121000748170207,"Urban","208210",801,585,531,15,"06001",590116,0.000991330518067634
"06001208300",859.2069,93.3037,"06001208300","06001","001-208300",745,675,7,"06001","06001208300",0.906040268456376,0.00939597315436242,595005,0.00125209031856875,0.108592819727123,"Urban","208300",947,703,638,20,"06001",590116,0.00119129120376333
"06001208310",1042.9172,115.8195,"06001208310","06001","001-208310",599,539,11,"06001","06001208310",0.89983305509182,0.0183639398998331,595005,0.00100671422929219,0.111053399061786,"Urban","208310",758,546,501,11,"06001",590116,0.000925241816863125
"06001208400",981.8412,74.8021,"06001208400","06001","001-208400",683,609,19,"06001","06001208400",0.891654465592972,0.0278184480234261,595005,0.0011478895135335,0.0761855379464622,"Urban","208400",871,660,603,12,"06001",590116,0.00111842417423015
"06001208500",846.0782,129.7647,"06001208500","06001","001-208500",648,569,17,"06001","06001208500",0.878086419753086,0.0262345679012346,595005,0.00108906647843295,0.153371993274381,"Urban","208500",772,573,527,11,"06001",590116,0.000970995533081631
"06001208510",1029,91,"06001208510","06001","001-208510",738,658,15,"06001","06001208510",0.89159891598916,0.0203252032520325,595005,0.00124032571154864,0.0884353741496599,"Urban","208510",927,705,652,13,"06001",590116,0.00119468036792766
"06001208600",427,44,"06001208600","06001","001-208600",637,562,7,"06001","06001208600",0.882260596546311,0.010989010989011,595005,0.00107057923882993,0.103044496487119,"Urban","208600",439,380,339,5,"06001",590116,0.00064394119122342
"06001208610",887,94,"06001208610","06001","001-208610",678,581,16,"06001","06001208610",0.85693215339233,0.023598820058997,595005,0.00113948622280485,0.10597519729425,"Urban","208610",903,652,592,10,"06001",590116,0.00110486751757282
"06001208700",1132.9618,143.2856,"06001208700","06001","001-208700",720,628,18,"06001","06001208700",0.872222222222222,0.025,595005,0.0012100738649255,0.126469930407186,"Urban","208700",997,708,656,7,"06001",590116,0.00119976411417416
"06001208800",994.5104,67.7979,"06001208800","06001","001-208800",740,655,10,"06001","06001208800",0.885135135135135,0.0135135135135135,595005,0.0012436870278401,0.0681721377674884,"Urban","208800",996,647,586,10,"06001",590116,0.00109639460716198
"06001208810",1167.8544,106.8333,"06001208810","06001","001-208810",754,676,14,"06001","06001208810",0.896551724137931,0.0185676392572944,595005,0.00126721624188032,0.0914782698939183,"Urban","208810",962,685,639,14,"06001",590116,0.00116078872628432
"06001208900",890.7895,143.0077,"06001208900","06001","001-208900",665,598,18,"06001","06001208900",0.899248120300752,0.0270676691729323,595005,0.00111763766691036,0.160540397029826,"Urban","208900",858,616,582,6,"06001",590116,0.00104386256261481
"06001208910",936.9914,157.1396,"06001208910","06001","001-208910",573,496,16,"06001","06001208910",0.865619546247818,0.0279232111692845,595005,0.000963017117503214,0.167706555257604,"Urban","208910",860,594,552,11,"06001",590116,0.00100658175680714
"06001209000",644.4819,82.8407,"06001209000","06001","001-209000",663,602,9,"06001","06001209000",0.907993966817496,0.0135746606334842,595005,0.0011142763506189,0.128538443050146,"Urban","209000",767,625,578,12,"06001",590116,0.00105911380135431
"06001209010",1076.1554,75.1787,"06001209010","06001","001-209010",678,601,17,"06001","06001209010",0.886430678466077,0.0250737463126844,595005,0.00113948622280485,0.0698585910547863,"Urban","209010",868,681,618,20,"06001",590116,0.00115401039795566
"06001209100",829.2301,81.5116,"06001209100","06001","001-209100",641,585,15,"06001","06001209100",0.912636505460218,0.0234009360374415,595005,0.00107730187141285,0.0982979271977706,"Urban","209100",778,624,577,14,"06001",590116,0.00105741921927214
"06001209110",726.7699,44.4884,"06001209110","06001","001-209110",585,530,17,"06001","06001209110",0.905982905982906,0.0290598290598291,595005,0.000983185015251973,0.0612138725062774,"Urban","209110",716,588,532,23,"06001",590116,0.000996414264314135
"06001209200",998.9336,73.8667,"06001209200","06001","001-209200",868,766,19,"06001","06001209200",0.882488479262673,0.021889400921659,595005,0.00145881127049353,0.0739455555404283,"Urban","209200",1096,842,759,26,"06001",590116,0.00142683811318453
"06001209300",1239.0664,146.1333,"06001209300","06001","001-209300",970,837,29,"06001","06001209300",0.862886597938144,0.0298969072164948,595005,0.00163023840135797,0.117938231558858,"Urban","209300",1222,926,834,31,"06001",590116,0.00156918300808655
"06001209310",1169,83,"06001209310","06001","001-209310",987,895,24,"06001","06001209310",0.906788247213779,0.0243161094224924,595005,0.00165880958983538,0.0710008554319932,"Urban","209310",1225,1006,918,33,"06001",590116,0.0017047495746599
"06001209400",922.9641,56.0168,"06001209400","06001","001-209400",821,735,22,"06001","06001209400",0.895249695493301,0.0267965895249695,595005,0.00137982033764422,0.060692284781174,"Urban","209400",1014,833,750,29,"06001",590116,0.00141158687444502
"06001209410",643.5809,15.5286,"06001209410","06001","001-209410",449,405,13,"06001","06001209410",0.902004454342984,0.0289532293986637,595005,0.000754615507432711,0.0241284351353497,"Urban","209410",695,569,539,8,"06001",590116,0.000964217204752964
"06001209510",1070.7022,10,"06001209510","06001","001-209510",875,797,26,"06001","06001209510",0.910857142857143,0.0297142857142857,595005,0.00147057587751363,0.00933966512817476,"Urban","209510",1012,849,770,29,"06001",590116,0.00143870018775969
